序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week
44,日本,假面騎士ZI-O Over Quartzer/快盜戰隊魯邦連者VS警察戰隊巡邏連者 en film,2019/12/13,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",3,58,-67.05%,"18,150","6,704","1,607,715",20200106
45,加拿大,8級警戒,2019/12/13,車庫娛樂股份有限公司,"XYZ FILMS, LLC",1,29,52.63%,"6,270","4,501","1,068,543",20200106
46,美國,熱氣球飛行家,2019/12/13,車庫娛樂股份有限公司,AMAZON CONTENT SERVICES LLC,2,22,-82.81%,"4,770","10,964","2,441,730",20200106
47,美國,黑色聖誕節,2019/12/13,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,10,-83.05%,"1,900","18,123","4,105,572",20200106
48,中華民國,為你存在的每一天,2019/12/13,星泰國際娛樂股份有限公司,瑞陞傳播有限公司##星映電影有限公司,2,6,-99.31%,"1,310","8,394","1,828,253",20200106
49,南韓,黑計畫,2019/12/13,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Contents Panda,1,2,-93.10%,365,"4,518","1,030,115",20200106
50,英國,茱蒂,2019/12/10,采昌國際多媒體股份有限公司,"PATHE FUND LIMITED, acting through its division PATHE INTERNATIONAL",10,998,-46.86%,"218,881","9,606","2,118,041",20200106
51,中國大陸,南方車站的聚會,2019/12/10,秝米有限公司,麥頌影視投資（上海）有限公司##山南光線影業有限公司##幸福藍海影視文化集團股份有限公司##騰訊影業文化傳播有限公司##萬達影視傳媒有限公司##綠光影業（上海）有限公司##和力辰光國際文化傳媒（北京）股份有限公司##中影（上海）影視文化投資管理中心（有限合夥）##一山文化（天津）合夥企業（有限合夥）##杭州嘉藝影視傳媒有限公司,1,49,-84.97%,"11,350","4,725","1,057,078",20200106
52,美國,去年聖誕節,2019/12/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,13,477,-80.18%,"119,958","94,161","22,218,375",20200106
53,日本,人間失格：太宰治與他的3個女人,2019/12/06,車庫娛樂股份有限公司,"ASMIK ACE, INC.",3,74,-64.59%,"16,770","9,365","2,158,378",20200106
54,德國,呆萌特務,2019/12/06,木棉花國際股份有限公司,Telepool GmbH,4,52,-67.09%,"11,125","7,310","1,625,295",20200106
55,日本,特約經紀公司,2019/12/06,華映娛樂股份有限公司,"SHOCHIKU CO., LTD.",1,38,-59.57%,"8,580","7,110","1,590,940",20200106
56,美國,野蠻遊戲：全面晉級,2019/12/04,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,"16,926",-64.83%,"3,982,228","783,986","184,752,080",20200106
57,英國,茱莉小姐,2019/12/04,威秀影城股份有限公司,The Royal National Theatre,1,52,0.00%,"32,720",183,"118,920",20200106
58,英國,哈利路亞！,2019/12/04,威秀影城股份有限公司,The Royal National Theatre,1,1,-98.78%,680,136,"85,000",20200106
59,馬來西亞,夕霧花園,2019/11/29,香港商甲上娛樂有限公司台灣分公司,"CJ ENM CO.,LTD",1,37,-63.37%,"8,850","17,487","3,950,285",20200106
60,丹麥,懸案密碼前傳-瓶中信,2019/11/29,峻龍國際有限公司,"MultiVisionnaire , Inc",1,42,0.00%,"6,720","5,247","1,140,999",20200106
61,美國,鋒迴路轉,2019/11/28,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,24,"1,760",-67.67%,"412,264","164,373","38,171,540",20200106
62,美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",43,"4,138",-59.59%,"1,127,464","311,002","76,514,740",20200106
63,南韓,82年生的金智英,2019/11/22,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",18,"1,559",-61.28%,"361,755","137,365","32,238,994",20200106
64,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",84,"13,045",-65.53%,"3,179,462","1,420,491","336,567,317",20200106
65,日本,HELLO WORLD,2019/11/15,車庫娛樂股份有限公司,"TOHO CO., LTD.",3,123,46.43%,"26,830","34,873","8,215,866",20200106
66,日本,為美好的世界獻上祝福！紅傳說,2019/11/15,向洋影業有限公司,株式会社KADOKAWA,3,43,-59.81%,"10,050","42,118","10,586,231",20200106
67,香港,催眠 . 裁決,2019/11/15,香港商甲上娛樂有限公司台灣分公司,大河影業揚州有限公司##完美威秀娛樂（香港）有限公司##美亞電影製作有限公司##星門娛樂有限公司##耳東影業(北京)有限公司##北京太平盛世文化傳播股份有限公司##北京盛世影隆文化傳播有限公司##北京潤德澤鑫投資基金管理有限公司 ##中映華夏（北京）文化傳媒有限公司,1,64,88.24%,"9,820","12,047","2,765,944",20200106
68,日本,那一夜,2019/11/13,天馬行空數位有限公司,NIKKATSU CORPORATION,17,788,-56.80%,"164,787","2,948","654,628",20200106
69,美國,安眠醫生,2019/11/08,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,375,0.00%,"21,895","122,966","29,420,969",20200106
70,美國,拍厲得,2019/11/08,車庫娛樂股份有限公司,WEINSTEIN GLOBAL FILM CORP.,1,56,55.56%,"8,040","3,736","822,462",20200106
71,美國,決戰中途島,2019/11/08,台北双喜電影發行股份有限公司,"BONA FILM INVESTMENT COMPANY (PACIFIC RIM, USA)",3,35,-79.04%,"7,765","313,640","72,438,966",20200106
72,義大利,黑金叛徒,2019/11/08,可樂藝術文創股份有限公司,The Match Factory GmbH,1,34,0.00%,"5,440",770,"160,147",20200106
73,中華民國,重甲機神：神降臨,2019/11/08,威視股份有限公司,乾坤一擊創意股份有限公司,1,6,100.00%,"1,400","7,158","1,666,409",20200106
74,中華民國,陽光普照,2019/11/01,本地風光電影股份有限公司,本地風光電影股份有限公司##華文創股份有限公司##捌捌玖電影股份有限公司##鏡文學股份有限公司##聯聯看娛樂文化有限公司,5,319,-53.36%,"74,805","110,251","26,126,277",20200106
75,日本,紫羅蘭永恆花園外傳–永遠與自動手記人偶–,2019/11/01,采昌國際多媒體股份有限公司,"ABC ANIMATION, INC.",3,123,547.37%,"31,101","46,420","11,277,831",20200106
76,中華民國,傻傻愛你，傻傻愛我,2019/11/01,華映娛樂股份有限公司,華映娛樂股份有限公司##講故事有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##天際娛樂股份有限公司##劇龍製作有限公司,1,30,0.00%,"4,800","42,086","9,445,387",20200106
77,日本,失憶的總理大臣,2019/10/25,傳影互動股份有限公司,PONY CANYON INC,2,114,-8.06%,"17,140","7,805","1,715,297",20200106
78,美國,金翅雀,2019/10/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,87,-81.88%,"10,680","17,075","3,604,213",20200106
79,法國,狙擊獵殺: 救援行動,2019/10/25,亮點國際影業有限公司,Playtime,1,60,76.47%,"8,760","4,073","868,202",20200106
80,中華民國,陪你很久很久,2019/10/25,威視股份有限公司,嘉揚電影有限公司##海寧鐵幕真文化傳媒有限公司##滿滿額娛樂股份有限公司##中環國際娛樂事業股份有限公司##貴金影業傳媒股份有限公司##思美傳媒股份有限公司##海寧夢生影視文化傳媒有限公司##北京喔沃娛樂文化傳媒有限公司##薩摩亞商羚邦亞洲有限公司台灣分公司Medialink (Asia) Limited Taiwan Branch,2,159,0.00%,"8,350","56,739","12,935,691",20200106
81,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,"1,177",9.49%,"120,070","547,629","132,409,111",20200106
82,中華民國,盲人律師,2019/10/18,春暉映像有限公司,牧風電影事業有限合夥,4,332,46.26%,"71,505","28,159","6,166,371",20200106
83,南韓,加油吧 ! 李先生,2019/10/18,車庫娛樂股份有限公司,CONTENTS PANDA,1,56,64.71%,"8,480","3,222","720,687",20200106
84,日本,七個會議,2019/10/18,鴻聯國際開發股份有限公司,"Tokyo Broadcasting System Television, Inc.",1,28,0.00%,"4,480","5,069","1,113,822",20200106
85,美國,黑魔女2,2019/10/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,"1,499","18,637.50%","96,570","583,013","137,251,521",20200106
86,中華民國,江湖無難事,2019/10/09,鹿路電影有限公司,上海愛美影視文化傳媒有限公司##滿滿額娛樂股份有限公司##華映娛樂股份有限公司##內容物數位電影製作有限公司##高雄人##鹿路電影有限公司##發條映画有限公司##百聿數碼創意股份有限公司,4,368,295.70%,"25,680","41,955","9,185,778",20200106
87,美國,弒婚遊戲,2019/10/09,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",5,191,-70.66%,"14,285","119,345","26,726,487",20200106
88,美國,藍波:最後一滴血,2019/10/09,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",3,180,-64.77%,"11,845","126,776","27,758,466",20200106
89,美國,屍樂園：髒比雙拼,2019/10/09,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,97,-65.60%,"10,500","64,046","14,366,952",20200106
90,南韓,電影版 壞傢伙們,2019/10/09,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",1,105,-56.61%,"8,220","29,007","6,503,853",20200106
91,日本,海獸之子,2019/10/09,香港商甲上娛樂有限公司台灣分公司,株式會社 Beyond C.,1,16,-89.74%,"2,080","37,431","8,691,626",20200106
92,澳洲,108悍將,2019/10/04,台北双喜電影發行股份有限公司,Media Film International,3,349,-44.78%,"35,670","27,263","5,661,790",20200106
93,美國,小丑,2019/10/03,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,10,"2,198",-35.96%,"178,860","1,386,309","331,001,885",20200106
94,英國,無間行動,2019/09/27,星泰國際娛樂股份有限公司,Batrax Entertainment,3,616,1.48%,"35,485","35,712","7,788,082",20200106
95,美國,囧媽的極地任務,2019/09/27,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,4,281,384.48%,"32,090","10,471","2,302,096",20200106
96,美國,瞞天機密,2019/09/27,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,2,227,-32.44%,"18,150","18,064","4,027,301",20200106
97,美國,校外打怪教學,2019/09/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,PROTAGONIST PICTURES LIMITED,2,102,-60.62%,"7,665","21,326","4,584,975",20200106
98,中華民國,返校,2019/09/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,9,"2,556",-18.29%,"203,975","1,115,823","260,058,735",20200106
99,美國,唐頓莊園,2019/09/20,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,56,-85.79%,"2,800","11,381","2,536,698",20200106
100,美國,舞孃騙很大,2019/09/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",2,132,-71.67%,"6,975","32,598","7,053,904",20200106
101,日本,天氣之子,2019/09/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,12,0.00%,"5,534","685,757","164,859,605",20200106
102,加拿大,衝擊真相,2019/09/12,威視股份有限公司,BANKSIDE FILMS LTD,1,57,-77.65%,"3,135","8,944","1,908,418",20200106
103,美國,全面攻佔3: 天使救援,2019/08/21,海樂影業股份有限公司,"NU IMAGE,INC.",2,118,-62.78%,"6,865","637,087","147,432,557",20200106
104,日本,航海王：奪寶爭霸戰,2019/08/21,台北双喜電影發行股份有限公司,TOEI Animation Enterprises Limited,1,1,0.00%,420,"224,078","54,057,373",20200106
105,日本,普羅米亞,2019/08/16,中影股份有限公司,東寶株式會社,2,202,-50.73%,"67,095","75,928","21,018,001",20200106
106,南韓,霹靂嬌鋒,2019/08/16,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",1,93,0.00%,"21,950",343,"76,100",20200106
107,美國,仙戒奇緣,2019/08/16,新竹市政府文化局,Gold Valley Films Inc.,1,63,-55.63%,"5,060","6,052","1,335,715",20200106
108,美國,憤怒鳥玩電影2：冰的啦！,2019/08/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,62,-61.01%,"4,960","88,855","19,636,631",20200106
109,美國,從前，有個好萊塢,2019/07/24,台北双喜電影發行股份有限公司,"Bona Film Investment Company (Pacific RIM, USA)",3,64,0.00%,"15,192","157,200","37,496,267",20200106
110,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,350,1.16%,"27,150","1,319,825","314,895,682",20200106
111,南韓,寄生上流,2019/06/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,3,185,0.00%,"42,790","626,942","146,155,448",20200106
112,中華民國,出發,2019/05/31,牽猴子整合行銷股份有限公司,相知國際股份有限公司,1,109,0.00%,"21,255","69,483","15,451,386",20200106
113,西班牙,騙局,2019/03/22,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,1,10,0.00%,"1,520","6,401","1,429,438",20200106
114,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,562,"80,685",20200106
115,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,"1,189","147,889",20200106
116,日本,當愛沉睡時,2018/10/01,車庫娛樂股份有限公司,(韓國)M-LINE DISTRIBUTION,3,12,-74.47%,"2,665",142,"26,055",20200106
117,美國,穆荷蘭大道,2017/09/29,東昊影業有限公司,(法國)STUDIOCANAL S.A.S,1,14,600.00%,"2,800","7,832","1,677,500",20200106
118,法國,巴黎交易員,2017/05/12,海鵬影業有限公司,LE PACTE,1,2,0.00%,250,"3,969","899,005",20200106
119,義大利,新天堂樂園,2016/04/08,香港商甲上娛樂有限公司台灣分公司,CRISTAL DI FILM,2,6,-33.33%,"1,150",840,"148,530",20200106
21,南韓,大叔,2010/01/01,車庫娛樂股份有限公司,OPUS PICTURES,2,20,5.26%,"4,070",39,"8,175",20200106
120,義大利,海上鋼琴師,1998/01/01,海鵬影業有限公司,True Colours Glorious Films Srl,15,"3,229",-50.76%,"740,093","13,147","2,988,537",20200106
121,美國,教父II,1974/01/01,捷傑有限公司,United International Pictures,2,83,36.07%,"18,410","3,796","1,003,424",20200106
122,美國,教父I,1972/01/01,捷傑有限公司,United International Pictures,2,91,-13.33%,"19,630","5,100","1,327,162",20200106
1,美國,重磅腥聞,2020/01/10,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,67,"21,855",4.53%,"5,081,968","42,763","9,927,712",20200113
2,日本,魯邦三世 THE FIRST,2020/01/10,向洋影業有限公司,株式会社トムス・エンタテインメント,75,"5,800",17.58%,"1,297,808","10,733","2,405,473",20200113
3,英國,大監獄行動,2020/01/10,台北双喜電影發行股份有限公司,Media Film International,39,"5,429",-20.16%,"1,194,183","12,229","2,698,335",20200113
4,西班牙,逃出天堂島,2020/01/10,海樂影業股份有限公司,GEM ENTERTAINMENT KFT.,48,"2,497",-19.89%,"557,085","5,614","1,255,802",20200113
5,日本,動畫電影版 我想吃掉你的胰臟,2020/01/10,車庫娛樂股份有限公司,ANIPLEX INC.,13,"2,006",51.40%,"481,837","3,331","806,411",20200113
6,美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,35,"2,080",-15.24%,"474,455","4,534","1,028,543",20200113
7,法國,星星知我心,2020/01/10,采昌國際多媒體股份有限公司,PATHE FILMS S.A.S,10,622,8.93%,"133,440","1,193","253,175",20200113
8,美國,Cunningham 機遇之舞,2020/01/10,天馬行空數位有限公司,Dogwoof Ltd,10,384,53.60%,"81,225",634,"134,558",20200113
9,英國,鬼眼逼人,2020/01/10,暗光鳥有限公司,DEVILWORKS LIMITED,4,127,-29.05%,"27,227",306,"67,369",20200113
10,美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",65,"20,614",-20.01%,"4,832,782","70,837","16,557,549",20200113
11,美國,驅魔直播,2020/01/03,海樂影業股份有限公司,"THE CLEANSING HOUR, LLC.",43,"2,208",-61.12%,"486,257","13,078","2,887,636",20200113
12,美國,別告訴她,2020/01/03,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",35,"2,026",-56.23%,"445,064","9,861","2,185,673",20200113
13,日本,《少女與戰車 總集篇4DX》-第63屆戰車道全國高中生大會,2020/01/03,蜜蜂工房創藝有限公司,Hakuhodo DY music &amp## pictures Inc.,6,516,-68.09%,"232,225","3,576","1,629,330",20200113
14,印度,真愛裁會贏,2020/01/03,水元素文化傳媒有限公司,YASH RAJ FILMS PRIVATE LIMITED,24,948,-55.60%,"199,045","5,417","1,143,101",20200113
15,泰國,這一次不再錯過你,2020/01/03,傳影互動股份有限公司,"CJ ENM CO.,LTD",22,284,-79.58%,"64,788","3,625","826,551",20200113
16,中華民國,菠蘿蜜,2020/01/03,牽猴子整合行銷股份有限公司,蜂鳥影像有限公司##邊境映象藝文有限公司##高雄人,4,225,-48.28%,"49,965","1,303","293,374",20200113
17,俄羅斯,陰兒,2020/01/03,可樂藝術文創股份有限公司,REASON8 Films Ltd.,13,130,-85.43%,"29,335","2,036","456,070",20200113
18,南韓,國際市場：半世紀的諾言,2020/01/03,車庫娛樂股份有限公司,(韓國)CJ E&M CORPORATION,3,23,-53.06%,"5,015",96,"20,510",20200113
19,南韓,孩子的自白,2020/01/03,車庫娛樂股份有限公司,"LOTTE CULTUREWORKS CO., LTD.",2,8,-50.00%,"1,900",45,"9,565",20200113
20,南韓,朝鮮花美男,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,9,-60.87%,"1,855",140,"30,635",20200113
21,南韓,鳳梧洞戰役,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,6,-83.78%,"1,445",94,"20,140",20200113
22,美國,鬼屋實錄：惡魔之家,2020/01/03,暗光鳥有限公司,KEW MEDIA INTERNATIONAL LIMITED,1,6,-94.17%,"1,320",199,"42,980",20200113
23,南韓,再見，未成年,2020/01/03,車庫娛樂股份有限公司,SHOWBOX CORP.,2,4,-73.33%,875,24,"5,060",20200113
24,南韓,我們與愛的距離,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,3,-85.71%,655,51,"11,155",20200113
25,南韓,單身三人行,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,3,-84.21%,620,32,"6,915",20200113
26,南韓,她的名字叫薔薇,2020/01/03,車庫娛樂股份有限公司,STUDIO BONANZA INC.,2,2,-75.00%,445,15,"3,140",20200113
27,南韓,我們的美好時光,2020/01/03,車庫娛樂股份有限公司,CONTENTS PANDA,2,2,-88.24%,290,25,"5,185",20200113
28,南韓,我的爸媽好性福,2020/01/03,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,1,0,-100.00%,0,18,"3,605",20200113
29,中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,785,0.00%,"200,100",907,"226,940",20200113
30,英國,國王與我,2020/01/01,威秀影城股份有限公司,Trafalgar Releasing Limited,1,55,0.00%,"39,120",122,"86,480",20200113
